Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
"DAZAP1"	2.7064109848	3.119138304	3.1307089335	3.1240590303	3.1490169664	2.4125983331	3.1674226437	2.9668704997	2.8470284719	2.0128691182	3.0141929633	2.2272647556	1.9597248594	3.1115501075	2.7816699409	2.6273101928	2.3724907545	2.0201720624	2.5489868053	3.4481677273	2.7373642508	2.0363940025	2.6970277924	2.2837201331	2.95740638	2.1942292884	1.8440252454	2.0969865211	1.9694213553	2.8243606139	1.8642394334	2.2121073592	2.9934569354	3.1499804602	2.8896618973	2.5651790135	2.8074496607	2.6895702944	2.4883253635	2.5293214452	2.6839640473	3.1626098851	2.6633442054	2.4691595535	1.0136347676	2.4793203706	2.9343431512	2.0198187685	2.0638843831	2.7315789075	2.6252913464	1.8775541901	2.0221641246	2.3295095786	2.831874207	2.5590890547	2.9960413357	2.6942184028	2.8492635219	2.6683699624	2.0631987293	3.0131879815	2.683653198	2.6922729151	2.8225568601	2.9728134298	2.2660706507	2.575734121	1.1698890693	3.5392097937	2.7094452191	2.3816904366	3.4006035474	2.2266505764	3.0007086546	3.2412214947	3.4055735595	3.4481677273	3.7539045777	2.6305567463
"DBI"	2.9860370357	2.117663874	3.33812916	3.2572752826	0	2.7464730616	3.2405518307	3.4612027643	2.6206359872	1.6615100645	2.264007392	0	3.0260040413	3.0436973082	2.8346520849	3.193263815	1.5110255536	2.5651281608	1.5296611452	3.516759626	1.5727486086	2.5089926129	0	2.820909032	1.5972553794	3.3901998489	0	1.961715081	1.6489102058	2.6838104532	3.3097004367	3.0513264899	2.1876622375	2.7138437204	1.5110255536	3.720453834	2.7150714583	2.8115528838	3.1724247826	2.9816182366	3.7699423404	3.7317159149	1.7378342637	3.1485954925	0.6012761416	1.5296611452	2.5818564178	2.5546317129	2.2756435982	2.9465938535	1.9932060293	2.9168783847	2.5672307676	2.0249227358	1.6521836243	2.4600678079	2.1365231216	1.7026514238	2.5521187242	2.964144249	3.3958778022	3.3623751304	2.2054606469	2.4944025232	1.5388795319	2.1424425648	0	2.4170847611	0	2.7514961279	0	0	3.3449190359	4.4134104812	2.6166720173	2.7933690091	1.7773088416	3.516759626	3.4017720392	0
"DBN1"	3.4865979197	3.3282122003	2.0868994693	2.9691280699	2.5263544844	2.9719503011	3.1286890134	2.7892199699	3.0876747085	2.0752276397	3.4195636798	1.3875689632	2.0230483356	3.3861230681	3.20027794	2.872312117	2.4272283872	3.1456598642	3.1168572208	2.0254725202	2.6805166469	3.3007149908	3.4453522774	0.8849103637	3.2167246536	3.2916500211	2.7427837344	2.3114481835	2.8426629276	1.8935934754	1.1984163343	1.5044059495	2.225621089	2.9700022436	3.1429196938	2.8132976385	2.1512963716	3.0617008229	2.2088010557	2.4644128825	2.4221937813	2.9483382048	2.3165351709	2.4020301333	2.8463202635	3.0608010301	2.8064837648	2.4851898923	1.6825632361	1.217364069	2.9964876729	1.2135965038	2.9176386862	3.0584979979	3.1876015718	3.2172138054	3.2440633899	3.0784665458	2.8917524861	0	1.9827515991	1.9291715133	2.0985327395	3.1442041315	1.7872362362	1.6947320211	2.8635440676	2.6658233713	3.6701974091	1.1753089414	2.2405425713	3.9124036283	2.0867399633	2.6226907536	2.8391925865	0.8632594873	0	2.0254725202	3.6453321735	2.0386280285
"DBNL"	3.9528548981	3.4495459673	3.3409483106	3.9407440323	3.5815893763	4.2039052472	4.3941847645	4.1935010189	4.1596011178	4.485356019	4.124090334	2.5182048609	4.2427693031	4.3580075739	4.1237997319	3.6777356999	3.8354223048	3.3370618639	4.7829533897	3.5758173302	3.9741276353	4.5624706959	2.9566302804	2.9261162451	3.5902478995	3.4745279278	4.1266684692	3.6733218913	3.728085616	4.2635143774	4.1753310991	3.8725706653	3.6454834279	4.2060045512	3.3344786522	3.6434918505	3.7036420692	3.8477590833	4.3883300311	4.1416538534	4.0377955289	4.1145732487	3.6842479659	3.587472387	3.5678595444	3.7565405104	3.606750078	3.8563316398	4.2789047583	4.0524045874	3.1962553974	4.0485935529	3.3970213869	3.9344361822	3.376586699	3.8415337429	4.5653416049	4.3151512737	4.0928680488	4.5870149416	4.2082976962	4.1885730526	3.5086807782	4.0732262379	3.942715222	4.0941359045	3.4532489638	4.0477927313	3.497095097	2.0788999604	3.7854437676	3.6322909867	3.7470242081	4.6253226345	3.997987521	4.0798946631	3.8085610421	3.5758173302	3.8846473919	3.5137446655
"DBR1"	0	0	0	0.9918610915	1.1348853224	0	0.9747016077	0.9852433392	1.0243563618	2.2652464523	1.0243563618	0	1.105253928	1.345124913	1.0243563618	1.3034630346	1.2645520232	0	1.0382611621	1.5247716583	0	0	1.0722692493	0	0	1.0451512978	0	0	0	1.0243563618	1.0756593096	1.3444850173	0	0.9583094176	1.0243563618	0	0	0.9718178748	0.9614936259	1.5273914687	0.9583094176	1.0485810316	0	0.9852433392	0	1.0382611621	1.2345989718	0	0	0	1.0243563618	0	1.1387402731	1.0243563618	1.1304749947	1.4059555637	0	1.1688530066	0	0	0.9583094176	1.7203104844	0.9699593112	1.7037146668	1.0451512978	1.0348006286	0	1.4078491493	0	0	0	1.0856529177	1.3101074798	0	0	0	0	1.5247716583	0	2.136384068
"DBT"	3.5536156262	2.7330829543	2.4860616976	1.991162545	1.9096448022	1.7984550277	1.0139078467	1.9632012292	3.1057737554	0	2.2623484036	0	1.092453077	2.3127137874	1.8507730795	2.284016281	2.7207590335	1.1268273007	1.0195754924	2.2145347869	1.1178007311	2.8160107084	1.7394701403	0	1.0747023881	2.7133712278	1.7527765629	1.7898169771	2.3301218992	3.6094291719	3.5984602008	2.64516761	0.9995185526	2.4108222499	1.475193471	2.9870651038	1.869654689	2.9807712774	1.4685518898	2.4181375552	2.367198535	3.0505530306	1.773323312	2.9920789559	2.3103545489	2.0354547469	2.6539226427	2.6671971353	1.8719742105	2.624279706	3.4206848274	1.7854962293	0	2.7122896694	1.1199747857	2.8889791239	1.5358437825	3.2448445861	0	2.0555398282	2.3980944596	1.7725005506	1.0097479844	2.3656080206	2.0589156235	1.9662740849	0	2.062329328	2.3080205492	2.7517038041	1.2247246405	0	2.2752407825	2.4677314031	2.873833569	1.023146301	2.6193161321	2.2145347869	1.023146301	2.5246093555
"DCAF1"	0	0	1.8046096928	0	1.091182505	0	0	0	0	0	2.5501333699	0	1.0640218014	0	1.3617803986	0.9897857829	0	0	1.8777037684	0.9900665366	1.148971429	0	1.9908894624	0	0	0	0	0	1.7101556145	0.9897857829	1.6261570044	1.2829676822	0.9846384393	1.6283505927	0.9897857829	0.9846384393	0	0	0	0	2.1202855938	1.9340877157	0	0	0	1.0025551796	0	3.0651177541	0.9923100453	1.0521137283	1.0521137283	0	0	1.7101556145	0	1.6715119267	1.7807083168	0	0	0	0	1.9158522765	1.7180045115	0	1.8601184644	1.7845039593	1.1962669111	0	0	1.018298111	1.1747290342	0	2.0494673052	0	0	0	0	0.9900665366	0	1.7150813534
"DCAF13"	1.0161327318	1.0208689654	0	0	0	1.0018648583	0	1.0303119813	1.1933123253	0	1.5605145472	0	0	0	1.7359354635	1.6153217939	0.9921901094	1.101013639	1.5458907131	1.0066307006	0	0	1.0385696901	0	1.0547354247	0	0	0	0	1.8968627737	0	0.9921901094	2.1280504376	2.0351270412	0.9921901094	1.0018648583	0	0	0	0	3.0119339875	0	1.961856458	0	1.1083879356	0	1.8140465375	1.0018648583	0	0	2.7215226415	0	1.1029431134	0.9921901094	0	0.9921901094	1.0022986391	1.1321171167	0	0	2.1553095949	1.6676794228	1.6304092352	1.0219097504	1.5451384797	1.0022986391	1.2104441185	1.4759360726	0	1.0222481064	1.1876221426	1.67730471	0	0	1.011386651	0	0	1.0066307006	0	1.3979297148
"DCAF7"	1.7884845658	1.5195952566	1.8442885947	1.0151937281	1.1508194309	1.3492985907	0	1.522395619	0	0	0	0	0	1.2844443243	1.5175079469	1.3586698923	1.0166308753	0	1.0334033244	0.9924542726	0	1.3736510101	1.8451984729	0	0	1.7670731726	0	1.0545627984	1.1423980884	1.8426657883	0	1.0166308753	0.9889105468	0.9889105468	2.026776941	0.9889105468	0	0	1.7466859652	0	2.3963289455	1.0458729433	1.6703728163	0	0	0	1.0166308753	1.9795826318	1.4069361194	0	1.7781824544	1.8974764311	2.0580765361	0	0	1.945719364	1.6141820222	1.0166308753	1.1423980884	1.9165956566	1.2229886237	1.8827139645	1.4397652741	1.8991476693	1.0417267577	1.6201315716	0	1.9225158439	0	2.2537712176	0	2.4588823951	1.6339616777	1.0458729433	0.9959878463	1.9249104699	0	0.9924542726	1.0100218424	1.0182838356
"DCAF8"	0	1.0186685508	1.0186685508	1.0356062049	1.0989261081	0.9990874781	0	0	0.9932617842	1.7837114837	1.1830625768	0	1.0705990024	0	0.9932617842	1.2601061874	2.2906828012	0	1.9232205078	1.0039972003	0	0.9990874781	1.0390663938	0	1.055027276	1.0131419456	0	0	0	2.1143046276	1.0423072237	0.9932617842	1.6127508375	2.4751908223	1.7678917091	0	0	1.0137877222	0	0	0.9990874781	1.98244703	0	0	0	1.5169490323	1.8031458745	0.9990874781	1.006025838	1.0581846641	0.9932617842	1.055027276	1.1026114104	0.9932617842	0	1.9994547326	1.4555307855	1.4885786416	1.0923377044	0	0.9990874781	1.9632918016	0	0	1.9047496311	1.4600565617	0	0.9990874781	1.7314569226	1.0229493536	0	1.0518608939	1.3827445933	1.016420761	0	0	1.1860725297	1.0039972003	1.0284014185	2.0582503438
"DCK"	0	0	0	0	0	0	1.5084732164	1.0471213123	2.1005355475	0	1.7159448432	1.2419009783	0	0	2.3381678639	1.3201871607	0.9722172402	0	0.989162541	0	0	1.4055429089	1.0308044662	0	0	0.997576957	0	0	0	0	1.0349703909	0.9722172402	1.0261782308	0	1.5119561473	0	0	1.0366967403	0	1.7934012648	1.0261782308	0	0	0	0	2.1702124989	0	1.3949537122	0	1.0554178564	1.4360132255	0	2.0419651169	1.4681668767	0	0.9722172402	1.5826830332	0.9722172402	0	1.0261782308	1.0261782308	0.9722172402	1.4703316924	1.040947395	0	1.588814785	1.251990135	1.0261782308	0	0	0	1.8731214781	1.8979852723	1.7626738157	1.0332010976	0	0	0	1.0471213123	1.4987933765
"DCN"	5.9088268534	3.8337368414	4.2055687613	5.7184681138	4.894014119	3.9487428299	4.622364809	4.8289434	4.8259729274	3.4279305824	4.9554043242	4.6103641611	5.527812009	5.2024085823	4.8987665864	5.9550046578	4.9556435153	5.7410867022	5.3278815679	4.4665957285	4.4251120633	4.9803465024	5.7967223498	4.0568165826	5.1636330705	5.148117293	4.4628630169	4.8670522438	5.2343602886	4.9677055601	2.4164239814	3.5905807244	4.3107370013	4.5966079228	6.1717719904	5.8936870134	4.530705204	6.3425853435	3.6626699246	4.4850428372	3.8297897828	4.0470434504	4.1903789039	4.7894985295	6.2553147822	3.7435640061	5.6319676836	4.1651057679	5.2012429355	5.0530321056	3.8889344785	5.2795329278	5.2947527901	4.7043016687	5.6416089948	3.619306675	4.9093901461	4.6930508679	5.2779888221	2.909278884	4.552402436	5.6717477751	4.1261936338	5.2434921086	5.4182366281	3.9439152313	3.5188707498	4.7126177913	5.4563837142	3.5576062388	5.0687693664	4.4204981093	4.5734840963	3.1879888613	4.6271868657	3.4542020281	4.1207612728	4.4665957285	4.589759811	5.3645033562
"DCPS"	2.447161702	3.1324310245	2.7139987464	2.2232907551	2.1572595011	1.1996807891	2.9968513792	3.0230436066	3.2218294481	0.9525366063	3.0768889234	1.0588515452	1.6575729946	2.5430685672	3.1572274964	3.0270315635	2.5095548025	2.1626738611	2.2311561949	2.6894726515	2.1300652546	2.3764958609	3.5559130088	0	2.6377474698	2.5020901978	2.9220440786	3.319544773	2.9941143945	2.6937154831	3.186259212	1.5665210463	2.1369083568	4.1210096264	2.7888044172	1.6204045348	3.3680722777	3.4375469818	2.0923681096	3.03444227	2.831296188	3.4091954158	2.729511512	2.5807893749	0	1.4063047303	3.3191980771	3.2564243563	1.2057098085	3.1194046562	2.9221384651	2.6744672757	2.2018444831	1.2437935887	1.7039878303	3.0284259583	2.6765016192	2.8913990996	3.0702649487	0	2.4037317803	3.0846106662	2.5175455691	2.5953212465	3.1428447821	3.5290351563	1.9534998569	3.064027424	2.0949319487	2.8021984553	2.3901729072	2.4104091686	2.9016854997	2.783738754	2.9402843175	3.0590597973	2.7915654629	2.6894726515	2.8389384892	2.7739348248
"DCTD"	1.4913449215	1.01078671	0	1.6158624727	1.1320202757	0	1.0094464122	1.0182680086	1.0069971985	1.1350495296	2.0023480387	1.2538935618	0	1.9768618334	0	1.7457109916	1.2801229706	1.1341381584	0	0.9994886179	0	2.081376847	0	0	0	1.0304204314	0	0	0	1.0069971985	1.808510988	1.0069971985	1.8547622994	2.0762770535	1.4975249556	0.9957020568	0	1.4726171798	0	1.4589280862	0	1.0342882909	0	1.5965052187	1.0797892996	1.6354922416	1.0069971985	0	1.0010523387	1.0836658735	1.4292846864	1.0799259295	1.1364026865	1.0069971985	1.955729777	1.8665639786	0	2.1925683523	0	0	0.9957020568	1.3696671353	0	0	1.0304204314	0	0	2.0034832386	0	0	0	2.3394004332	1.2847792317	1.7217101676	2.0725813452	0	1.2359927215	0.9994886179	1.6055089702	0
"DCTN1"	4.0711269855	3.5807856445	3.0570345803	3.9120039503	3.6645733959	4.521510301	3.7599258279	3.5174271565	3.803572063	3.9238137594	4.7026918119	3.3401239272	3.5107322341	3.6059120471	4.3079217906	4.1516193986	4.178728837	4.0628699507	4.0944406111	3.4369832992	2.9908120999	3.989727745	3.7561539991	2.9115005822	3.7873369413	4.070279152	3.7381000662	3.3703090763	3.6397070492	3.839979765	2.991942025	3.79889896	3.6191363465	4.0590898151	4.1287386564	3.969682526	3.5053723234	3.9878785345	3.6923757923	4.335634371	4.1828357669	3.8512020006	3.7077217773	3.6910370592	3.3785703643	3.9378747508	4.0986371646	3.9639549552	4.3219252218	4.0288207629	3.9828243371	4.1273658323	3.959085185	4.386361928	3.7177323996	4.3235852042	4.3864695639	4.1297268675	2.8172059364	3.9138260634	4.2687283594	4.1047279273	4.0373995481	4.5273211261	4.3551522174	3.9330395366	3.7336552913	4.6642770088	3.9271273759	4.111063056	3.0197792108	3.1675444236	3.7077217773	3.746705621	3.5729926553	4.1283272739	3.0593268139	3.4369832992	3.6908496336	3.4067485196
"DCTN2"	4.0970547943	3.7934856182	3.9876379501	3.501595346	4.0238292873	4.4826848954	4.0597690796	4.2221419654	4.1834014918	3.9864543139	4.635727607	3.3613500847	3.8982435083	4.1485683187	4.0247348129	4.2305841868	4.0757528664	4.0113208981	3.9346334631	4.4702751187	3.6290056315	4.221991063	4.0530318627	4.2731645484	4.1512207281	4.2503411332	4.6175740995	3.8915667322	3.6820832052	4.233761365	3.6596111854	4.4417668277	4.1695012317	4.3823574191	4.3660473599	4.430815212	3.7556698246	4.0584975048	4.2322225333	4.3803995279	4.0090332361	4.155839271	3.8253605067	3.5171703256	3.1136024659	3.9014641665	4.3210884403	3.7932157482	4.1557095705	4.0989805484	4.3881246008	4.0817697734	3.9051513955	4.0526815752	3.5793743693	3.9840575276	3.6564179507	4.0514967278	3.8848508138	4.3916512806	4.1574022515	4.1803292903	3.745031221	4.1894026995	3.9757909659	3.6419664852	3.1869887588	3.9212232978	4.3177702103	4.2846248998	3.5484975464	3.3815391349	3.9081932656	4.7942618978	3.8356902986	3.667195723	3.7914385317	4.4702751187	4.0795073561	3.9906974431
"DCTN3"	1.7673613355	0	0	1.5278532022	0	2.1754506258	2.0388605607	2.2856307888	1.3226509139	1.2120226134	2.0929213674	1.3340077709	1.1742771201	1.8851307502	1.0799667463	1.0799667463	1.3608625823	2.0583994873	1.096150406	2.2876343826	0	2.6241772183	1.1357800042	1.9449261161	2.4009205395	1.1041740905	1.8767754844	2.3214176849	2.0060729536	1.4315347155	1.1397339867	2.2562662107	1.3683674955	1.3386078108	2.0314280691	2.3314274221	1.0149088544	2.008027603	2.5918068359	1.7482593058	1.2799994466	1.8105363143	0.9767187199	1.8681631639	1.0041163696	2.1748095939	3.0001680524	1.6735420948	2.2295937397	1.1591141619	2.2949523085	0	1.2134145102	2.0060729536	1.2037495793	1.9561857101	2.0971083681	2.5227304727	2.0456986519	1.9052082737	1.537405039	1.8976190572	0	0.9382781909	1.1041740905	2.4854214052	0	1.6446342443	2.4608874028	2.2416173502	0	2.4310396326	2.1120451994	2.2712566052	1.9803241962	1.9141695015	0	2.2876343826	1.8791808679	1.0815625961
"DCTN4"	2.6724384214	1.8293025281	1.7957399061	2.6920882553	1.6979579696	2.7534411363	1.2169827378	1.8325637049	2.7305543878	2.167378761	3.0765177958	0	2.5345089633	1.9940695211	1.9627602248	2.3068973032	2.5081427007	2.7907392203	2.9886504907	2.4446835272	0	2.6308384656	2.004222404	3.3522527919	2.6365614135	2.5006651421	2.9213796386	2.0208252234	1.6642011445	2.3216409569	2.4210925722	1.8986210285	2.1366069803	2.638214917	2.3069650003	2.5586598876	1.3082210716	2.1144471435	3.0011579164	3.1973497645	2.595310222	1.9349701	2.0041923797	2.5792543221	2.0790380809	2.7027023867	2.2473851031	1.645947947	2.8226099489	2.0688582994	2.7722948853	2.6733471285	2.8569241774	2.8916250299	2.8343449423	2.6787738103	2.8931393775	1.9247734789	2.5281415679	2.2869226856	2.1582276227	2.4731053723	2.7951711908	2.2669972561	3.142600154	3.0496053254	3.2511930643	3.2105436652	2.4560556306	1.8847984997	1.8689047488	2.6787738103	2.5046726207	1.4831237369	2.3663071049	2.2964125075	1.8692134724	2.4446835272	2.836662926	2.9863272755
"DCTPP1"	1.0393740954	1.0429699981	2.9165071528	0	1.9859328548	1.3961719083	1.8569738709	2.7686065037	2.0613098574	1.9950556791	2.6413642461	1.2385599267	0	1.3301862465	1.4703491647	1.3138573331	2.3935285419	0	2.1787554153	3.0006082389	0	2.0493014059	1.7942567113	3.0421466556	2.3712637864	1.7169173203	2.3559857915	2.1037487004	1.101427491	1.3398491829	2.3947119419	2.215452365	1.8382002764	2.2831535171	1.9742541996	2.5223779326	1.1195393682	1.0393740954	2.6090241342	1.8234152998	3.0257805931	2.9900986477	1.0818476866	2.938058537	0	2.1279163611	1.689171931	2.5082680381	0	1.0587575137	2.6750624382	1.0548240342	0	2.3457576814	0	2.2792715029	1.5657689278	2.5027741667	1.9895216411	1.7219116017	2.7358290559	1.8314182514	1.4881039345	0	1.6736652641	2.7916748682	2.2753117887	2.3684444046	1.082166679	2.9377247007	0	0	2.1640437635	2.6166047753	1.475459736	3.2389439671	2.7880408489	3.0006082389	1.9464297457	2.3568280064
"DCUN1D1"	2.1454049686	1.1754182385	2.2134107495	1.8714198563	2.1517500277	2.0278942623	1.7655086148	2.5028228386	2.0680429448	2.1632769199	2.2655685752	1.9212442358	2.1418622807	1.9902921473	1.9683561094	2.0694836132	2.0566151646	2.4724446351	1.8764339943	2.1341425469	2.134297719	0	2.6396236396	1.2099820673	2.6090383426	2.2255486901	2.6396236396	1.2395970903	0.9818775121	1.8339017077	2.057610249	2.1650531427	1.6865414228	2.0630887832	2.0279923445	2.3196676176	1.2686485195	2.1180128609	1.1609541475	2.6831660949	2.006868096	2.5614774745	2.0010243213	2.2595422203	2.0804226502	1.4324399998	2.0257673787	2.0385691057	2.6638925017	2.3945207033	2.2940664405	1.5988541315	1.7315101905	0.8797078658	2.4896185673	2.4505148839	2.1104132871	1.4018223212	2.7916601285	2.0010243213	1.8824275956	1.9206765814	2.5454337527	1.8519608906	1.8560628157	2.1146260498	2.4785900775	1.583197354	2.4376891029	2.7653241497	2.7144016317	2.0652172655	2.2546555488	1.9206734702	2.3858025236	2.3114228833	2.3897604549	2.1341425469	2.6289345975	2.7384690361
"DCXR"	1.589423863	1.078413163	2.9156248496	0	1.06922287	1.0623024515	0	1.086401802	2.2231113276	2.323761458	2.6403200761	2.0676372241	1.8049392021	0	2.1175777477	2.2246351439	2.6649116787	0	1.5725130765	1.5528793013	0	2.2111662484	3.2561667629	1.7937793465	2.1912179994	2.3894887754	3.0757940335	2.2725409194	0	2.4785066841	3.7372458124	2.9695634576	2.8771474669	3.5787702538	0.9511883335	3.1600467201	0	3.0366785286	1.5368308154	0	2.431477342	3.3915877425	0	1.086401802	0	1.5467743907	1.5854241764	2.7277532025	2.6604095974	2.2246290851	2.0896955633	2.8294934622	3.4718684337	1.3782003521	2.6675066521	2.3959526809	2.2679113548	3.0453525047	2.6848604094	1.460358501	3.1072108988	1.2941872797	1.5781239157	2.1028011305	1.5716552851	3.2028031682	0	3.3674611055	0	2.6961659464	1.167639912	1.7227250148	1.3703030806	1.6289093955	2.201939345	0	0	1.5528793013	1.086401802	3.6214940223
"DDAH1"	3.0139642112	2.7213363269	3.6797590008	3.5088582605	1.5975658386	2.1606907099	2.3968264505	3.5895917063	3.8796793453	2.4347074696	2.9976633424	0	2.8719948181	2.124904862	2.9462164532	3.02834879	3.2196860184	1.5998504753	1.4781168058	3.3752932789	3.2003789013	2.9563083683	0	3.7963069837	1.5410381904	2.9571544381	3.0937395971	2.2555507407	1.5891090282	2.552553688	2.2875476118	2.2875476118	3.3372628155	2.6126782132	2.4161311866	3.3621974154	3.0572868894	3.1188942397	3.267126572	3.7897904961	3.7307681396	4.1710631497	3.8080640826	3.3009230879	2.3354123334	3.5810479936	2.4574883817	3.6442940144	2.752517273	3.1273154232	3.7515405579	3.3747522172	2.443854847	3.2115936354	2.4300702591	2.9633655567	2.0427453627	3.949573362	2.4297689176	2.7242836752	3.1241848491	3.7542755282	3.6838421092	3.1117670908	1.4866992549	3.1256361008	3.2111758316	2.8989618918	1.5693119126	3.4938017143	0	0	1.7679551699	3.4766489265	2.8840633655	2.3548612886	2.6000929842	3.3752932789	2.327729751	2.3979546548
"DDAH2"	3.7300657579	3.5322546721	3.5105182919	3.5725132886	4.0008202305	2.5406682792	2.4560545466	3.2774065659	3.9943808518	1.3700182445	3.9602585298	1.4904346613	2.6151052539	3.4536116665	2.6896328614	3.1531466088	3.335416856	3.8556855947	3.2050303406	3.3114313679	3.1353031002	3.6449202961	3.5263029821	0	2.8272168627	3.5603170691	3.3560170585	2.1654181984	2.585877746	2.7864819983	3.3858046073	2.8922532687	2.8189341439	2.9879790194	3.8240214116	3.9285551751	2.3437008998	2.9374359518	3.2552740167	3.6450031877	3.5451140083	3.9343190046	3.2097789394	3.8435985443	2.8813005577	2.6302932553	2.7147281294	3.708660223	3.507412989	3.831696164	3.5055335318	3.6953577724	2.6686852041	2.9571584689	3.2742805297	2.7068722051	3.8026681888	3.3272131788	3.6892287637	3.2006425663	4.1449469734	3.5083223111	2.8714583695	2.694064637	3.1824394614	1.7998366338	3.6636476608	3.3752156497	3.5868652683	1.9390626817	3.6997028978	1.309674236	1.9368952797	4.0717522558	2.0317385064	3.5858824031	2.3433759202	3.3114313679	2.7070778804	3.731043287
"DDB1"	4.921167971	5.1959755036	5.1802273943	4.8322292008	4.3983361514	4.4027982872	4.0947876038	4.2991771539	5.245369154	4.744714054	4.9762359923	4.068084645	4.5786912878	5.0629243376	4.6301066909	4.4306654231	5.1603033473	3.9246217894	4.9922674805	4.5755591747	3.8542457736	4.1690837208	4.3035454675	3.9447578542	4.1862145962	4.3800795131	4.286349004	3.4858995615	4.4144521964	4.9960913131	4.3399377803	5.0652719144	5.0503303798	5.062411871	4.5294368819	4.3295136364	4.5851057487	4.971824742	4.7318312605	4.9857937725	4.9914440824	5.1442380359	4.4533037697	4.6437654179	4.4556174452	4.9917401362	4.9065266594	4.7766520085	3.9781843346	4.3892259038	4.3243691726	4.254057609	4.6734921592	4.486503332	4.1136150379	4.8593861122	4.5671482168	4.4413460408	4.6957213249	3.9422025691	3.9423004406	4.8115188985	4.8678269986	4.4545969072	4.3887225563	5.4242649305	4.1582928207	5.3500707172	4.3533066255	5.1170091528	4.331889228	3.5960558793	4.9610454323	3.530914398	4.650206328	4.5807983422	4.5924906476	4.5755591747	4.7219815613	4.993918534
